"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 03 22:33:39 GET 2023","Mon Jul 03 22:33:41 GET 2023","1958","Default Suite","axaliproeqti","LogIn","LogIn","LogInWithIncorrectMail","LogInWithIncorrectMail","ავტორიზაცია არასწორი მეილით და სწორი პაროლით"
"broken","Fri Jun 30 12:53:58 GET 2023","Fri Jun 30 12:54:40 GET 2023","42291","Default Suite","axaliproeqti","TestArr","TestArr","selectMenu","selectMenu",""
"broken","Thu Jun 29 20:01:38 GET 2023","Thu Jun 29 20:01:38 GET 2023","1","Default Suite","axaliproeqti","LogIn","LogIn","closeChrome","Chrome ბრაუზერის დახურვა",""
"broken","Thu Jun 29 20:07:49 GET 2023","Thu Jun 29 20:07:49 GET 2023","1","Default Suite","axaliproeqti","LogIn","LogIn","openChrome","Chrome ბრაუზერის გახსნა",""
"passed","Mon Jul 03 22:20:25 GET 2023","Mon Jul 03 22:20:27 GET 2023","2679","Default Suite","axaliproeqti","Register","Register","RegisterWithEmptyData","RegisterWithEmptyData","რეგისტრაცია ცარიელი ველებით"
"broken","Thu Jun 29 11:55:46 GET 2023","Thu Jun 29 11:56:00 GET 2023","14205","Default Suite","axaliproeqti","LogIn","LogIn","selectMenu","selectMenu",""
"passed","Mon Jul 03 22:20:14 GET 2023","Mon Jul 03 22:20:21 GET 2023","6455","Default Suite","axaliproeqti","Register","Register","registerWithAlreadyRegisteredEmail","registerWithAlreadyRegisteredEmail","რეგისტრაცია არსებული მომხმარებლის იმეილის გამოყენებით"
"passed","Mon Jul 03 22:33:45 GET 2023","Mon Jul 03 22:33:49 GET 2023","3619","Default Suite","axaliproeqti","LogIn","LogIn","logIInWithEmptyData","logIInWithEmptyData","ავტორიზაცია ცარიელი მონაცემებით"
"passed","Fri Jun 30 19:32:45 GET 2023","Fri Jun 30 19:32:54 GET 2023","8812","Default Suite","axaliproeqti","CartItem","CartItem","AddInCart","AddInCart",""
"broken","Thu Jun 29 20:00:08 GET 2023","Thu Jun 29 20:00:08 GET 2023","1","Default Suite","axaliproeqti","PasswordReset","PasswordReset","runChrome","ქრომის გახსნა",""
"passed","Thu Jun 29 17:11:04 GET 2023","Thu Jun 29 17:11:13 GET 2023","8673","Default Suite","axaliproeqti","PasswordReset","PasswordReset","resPassword","resPassword",""
"broken","Fri Jun 30 19:52:15 GET 2023","Fri Jun 30 19:52:15 GET 2023","6","Default Suite","axaliproeqti","CartItem","CartItem","login","ავტორიზაცია",""
"passed","Fri Jun 30 14:41:45 GET 2023","Fri Jun 30 14:41:54 GET 2023","8409","Default Suite","axaliproeqti","LogIn","LogIn","logOut","logOut",""
"broken","Fri Jun 30 20:04:54 GET 2023","Fri Jun 30 20:04:54 GET 2023","1","Default Suite","axaliproeqti","CartItem","CartItem","chromeClose","chromeClose",""
"broken","Fri Jun 30 23:16:16 GET 2023","Fri Jun 30 23:16:16 GET 2023","0","Default Suite","axaliproeqti","PasswordReset","PasswordReset","closeChrome","Chrome ბრაუზერის დახურვა",""
"passed","Mon Jul 03 22:33:53 GET 2023","Mon Jul 03 22:33:58 GET 2023","5044","Default Suite","axaliproeqti","LogIn","LogIn","logInWithIncorrectData","logInWithIncorrectData","ავტორიზაცია მცდარი მონაცემებით"
"passed","Mon Jul 03 12:52:16 GET 2023","Mon Jul 03 12:52:22 GET 2023","5708","Default Suite","axaliproeqti","CartItem","CartItem","wishList","wishList",""
"passed","Mon Jul 03 22:54:09 GET 2023","Mon Jul 03 22:54:14 GET 2023","4751","Default Suite","axaliproeqti","CartItem","CartItem","itemItem","itemItem","სორტირება დასახელებით Z დან A მდე"
"passed","Mon Jul 03 22:34:12 GET 2023","Mon Jul 03 22:34:17 GET 2023","5651","Default Suite","axaliproeqti","LogIn","LogIn","LogInWithCorrectDAta","LogInWithCorrectDAta","ავტორიზაცია სწორი მონაცემებით"
"passed","Fri Jun 30 23:18:22 GET 2023","Fri Jun 30 23:18:46 GET 2023","24327","Default Suite","axaliproeqti","PasswordReset","PasswordReset","resPasswordWithInvalidMail","resPasswordWithInvalidMail","პაროლის აღდგენა არავალიდური იმეილით"
"passed","Fri Jun 30 23:17:10 GET 2023","Fri Jun 30 23:17:57 GET 2023","46573","Default Suite","axaliproeqti","PasswordReset","PasswordReset","resPasswordWithValidMail","resPasswordWithValidMail","პაროლის აღდგენა სწორი მეილით"
"passed","Mon Jul 03 22:34:03 GET 2023","Mon Jul 03 22:34:07 GET 2023","4737","Default Suite","axaliproeqti","LogIn","LogIn","logInWithIncorrectPassword","logInWithIncorrectPassword","ავტორიზაცია არასწორი პაროლითა და სწორი მეილით"
"passed","Mon Jul 03 22:08:02 GET 2023","Mon Jul 03 22:08:07 GET 2023","4757","Default Suite","axaliproeqti","Logout","Logout","logOutFrom","logOutFrom","კაბინეტიდან გასვლა"
